,day_of_year,results
20577,220,28.444444444444443
20065,73,15.833333333333334
18604,73,18.000000000000004
19039,143,22.11111111111111
22694,145,25.0
20183,191,27.88888888888889
19657,30,14.77777777777778
22228,44,10.388888888888893
21005,282,26.11111111111111
19745,118,17.555555555555557
22701,152,24.77777777777777
21770,317,17.88888888888889
21489,36,13.666666666666666
20769,46,15.055555555555555
21088,365,14.88888888888889
23004,90,15.166666666666666
21930,112,19.61111111111111
20646,289,22.27777777777777
20515,158,23.5
20812,89,20.222222222222225
19234,338,19.166666666666668
20848,125,20.166666666666668
22038,220,27.61111111111111
18577,46,14.61111111111111
21311,223,28.33333333333333
19743,116,20.500000000000004
19268,6,15.833333333333334
21001,278,25.72222222222222
19422,160,24.77777777777777
20668,311,20.666666666666668
20075,83,15.166666666666666
19445,183,25.944444444444443
21560,107,17.555555555555557
20058,66,16.61111111111111
19367,105,16.61111111111111
22710,161,25.444444444444443
21883,65,21.05555555555556
21278,190,27.22222222222222
21249,161,26.11111111111111
20032,40,14.72222222222222
22625,76,17.0
20160,168,26.83333333333333
20710,353,16.555555555555557
22604,55,23.166666666666668
23113,199,27.666666666666668
19843,216,28.38888888888889
21407,319,20.0
18721,190,27.22222222222222
22732,183,27.33333333333333
21844,26,12.944444444444445
20273,281,25.83333333333333
20093,101,17.72222222222222
19488,226,26.55555555555556
20436,79,15.666666666666666
21912,94,17.5
20870,147,25.05555555555556
22978,64,16.72222222222222
22266,82,16.944444444444443
20912,189,25.83333333333333
19113,217,27.16666666666667
19828,201,26.27777777777778
20685,328,17.944444444444443
22125,307,25.611111111111107
20229,237,29.27777777777778
18619,88,15.666666666666666
21896,78,15.5
22340,156,22.77777777777778
21558,105,17.555555555555557
19402,140,21.5
21029,306,22.55555555555556
19255,359,16.27777777777778
21326,238,28.05555555555556
18727,196,26.27777777777778
19638,11,11.944444444444445
20706,349,12.77777777777778
22447,263,27.722222222222225
21564,111,17.11111111111111
19817,190,26.05555555555556
20831,108,23.61111111111111
20884,161,23.72222222222222
19266,4,13.833333333333334
20513,156,24.0
21478,25,15.11111111111111
20443,86,15.444444444444445
20851,128,20.444444444444443
22326,142,22.61111111111111
19258,362,15.61111111111111
21629,176,26.22222222222222
20693,336,18.77777777777778
23054,140,23.72222222222222
20941,218,28.000000000000004
19713,86,18.000000000000004
22138,320,27.61111111111111
21302,214,28.72222222222222
22621,72,18.666666666666664
20072,80,16.666666666666668
19269,7,16.72222222222222
20484,127,19.33333333333333
22521,337,20.166666666666668
22776,227,26.888888888888893
21051,328,16.555555555555557
21617,164,24.27777777777778
21208,120,18.5
22257,73,13.61111111111111
22469,285,26.05555555555556
22371,187,26.38888888888889
20450,93,21.444444444444443
22154,336,15.0
19201,305,19.0
19581,319,19.5
19300,38,10.111111111111112
19661,34,15.11111111111111
21198,110,18.05555555555556
21299,211,29.77777777777778
19400,138,22.5
20570,213,29.83333333333333
22639,90,18.944444444444443
22935,21,14.444444444444445
21693,240,27.27777777777777
20241,249,28.111111111111107
21916,98,16.38888888888889
23096,182,27.0
22836,287,26.27777777777778
18674,143,23.833333333333336
20539,182,26.5
19429,167,24.944444444444446
19604,342,19.0
18688,157,23.444444444444443
19768,141,20.72222222222222
19219,323,20.166666666666668
18565,34,13.555555555555555
22062,244,27.722222222222225
19946,319,20.444444444444443
21792,339,13.88888888888889
19116,220,27.666666666666668
20792,69,16.72222222222222
21146,58,13.27777777777778
20419,62,14.444444444444445
20307,315,20.500000000000004
18746,215,27.33333333333333
21802,349,18.88888888888889
21634,181,26.38888888888889
19237,341,16.833333333333332
22998,84,16.38888888888889
22741,192,26.55555555555556
19543,281,24.55555555555556
19831,204,27.11111111111111
20069,77,24.61111111111111
19037,141,21.11111111111111
22049,231,27.722222222222225
20243,251,27.83333333333333
20312,320,20.33333333333333
23098,184,26.27777777777778
21292,204,28.22222222222222
22392,208,27.944444444444443
19474,212,27.22222222222222
21454,1,15.72222222222222
21869,51,13.555555555555555
18749,218,27.55555555555556
22765,216,27.05555555555556
19822,195,25.83333333333333
19378,116,17.5
22318,134,23.166666666666668
22023,205,26.888888888888893
21605,152,22.722222222222225
22391,207,28.33333333333333
20556,199,27.77777777777778
21340,252,26.22222222222222
20278,286,25.27777777777778
19918,291,23.22222222222222
22045,227,27.61111111111111
20134,142,25.222222222222225
21488,35,14.055555555555554
22504,320,18.33333333333333
22590,41,15.055555555555555
20516,159,23.33333333333333
19778,151,22.27777777777777
20121,129,20.444444444444443
22479,295,21.611111111111114
21942,124,19.61111111111111
21227,139,21.27777777777778
20514,157,23.833333333333336
21620,167,25.11111111111111
22598,49,16.77777777777778
21131,43,15.77777777777778
19407,145,22.27777777777777
22950,36,14.166666666666666
22755,206,27.33333333333333
22567,18,14.11111111111111
20712,355,15.333333333333334
18574,43,13.88888888888889
21169,81,17.77777777777778
22624,75,16.944444444444443
19971,344,18.77777777777778
21468,15,15.944444444444445
21380,292,24.88888888888889
20842,119,21.72222222222221
19252,356,15.444444444444445
20629,272,24.77777777777777
19839,212,27.444444444444446
23126,212,29.27777777777778
19860,233,27.88888888888889
22320,136,22.5
23156,242,28.38888888888889
19858,231,28.277777777777786
22112,294,24.5
18602,71,15.944444444444445
22339,155,24.27777777777778
22436,252,27.5
23111,197,28.444444444444443
18724,193,25.777777777777786
23167,253,26.5
19881,254,26.944444444444443
20041,49,17.166666666666668
19615,353,15.72222222222222
20732,9,15.166666666666666
20704,347,17.11111111111111
22995,81,18.33333333333333
22889,340,16.61111111111111
22568,19,13.722222222222223
20992,269,26.22222222222222
19466,204,27.22222222222222
20878,155,24.27777777777778
21040,317,20.500000000000004
19886,259,27.16666666666667
22489,305,19.72222222222222
20766,43,17.0
22162,344,14.333333333333334
20013,21,13.055555555555555
18620,89,17.333333333333332
19915,288,25.38888888888889
21483,30,14.88888888888889
19704,77,11.72222222222222
21532,79,14.22222222222222
18680,149,23.55555555555556
18563,32,14.77777777777778
20245,253,27.722222222222225
19871,244,29.77777777777778
20716,359,15.61111111111111
21112,24,12.666666666666664
22151,333,14.555555555555555
